epoch,accuracy,loss,val_accuracy,val_loss
0,0.5280406475067139,0.7028034925460815,0.5388684272766113,0.6868718862533569
1,0.5451406240463257,0.6851902604103088,0.5467894673347473,0.6825270652770996
2,0.5526875257492065,0.682382345199585,0.5524736642837524,0.6803711652755737
3,0.5572780966758728,0.6799513697624207,0.5542894601821899,0.679932177066803
4,0.5640531182289124,0.6770400404930115,0.5487105250358582,0.6814749836921692
5,0.5730718970298767,0.6730628609657288,0.5551578998565674,0.6793357729911804
6,0.5820843577384949,0.6677371263504028,0.5475526452064514,0.6896067261695862
7,0.5941500067710876,0.6597098112106323,0.5505789518356323,0.6866893172264099
8,0.6137250065803528,0.6469860076904297,0.5480263233184814,0.6933900117874146
9,0.6375937461853027,0.6264746189117432,0.5432368516921997,0.713118314743042
10,0.6678000092506409,0.5957948565483093,0.5411841869354248,0.749512255191803
11,0.7054656147956848,0.5522803068161011,0.5329210758209229,0.7995918393135071
12,0.7467281222343445,0.4972548484802246,0.5278158187866211,0.8822518587112427
13,0.7901656031608582,0.43055784702301025,0.5291842222213745,1.057294249534607
14,0.8321906328201294,0.3596714735031128,0.5253157615661621,1.1702605485916138
15,0.8693062663078308,0.2907920181751251,0.5263947248458862,1.4140878915786743
16,0.9012218713760376,0.22918017208576202,0.523736834526062,1.72377610206604
17,0.9241468906402588,0.18269416689872742,0.5263947248458862,1.786304235458374
18,0.9420999884605408,0.1454494595527649,0.5230000019073486,2.0539824962615967
19,0.9525187611579895,0.12232139706611633,0.5214473605155945,2.381504774093628
